ID,StartNode,EndNode,DeltaX,DeltaY,DeltaZ,Diameter,WallThickness,InsulationThickness,ElasticModulus,PoissonRatio,Density
0,10,20,0,-201,0,711,10,80,0,0,0.000676
1,20,30,0,-1067,0,711,10,80,0,0,0.000676
2,30,40,-2135,0,0,711,10,80,0,0,0.000676
3,40,50,0,0,-4681,711,10,80,0,0,0.000676
4,50,60,0,3936,0,711,10,80,0,0,0.000676
5,60,70,-1851,0,1851,711,10,80,0,0,0.000676
6,70,110,-68,0,68,711,10,80,0,0,0.000676
7,220,225,0,0,567,711,10,80,0,0,6e-05
8,225,230,0,0,1500,711,10,80,0,0,6e-05
9,230,240,0,-4290,0,711,10,80,0,0,6e-05
10,240,250,2121,0,-2121,711,10,80,0,0,6e-05
11,250,260,1443,0,-1442,711,10,80,0,0,6e-05
12,260,270,2436,0,0,711,10,80,0,0,6e-05
13,270,280,0,0,-521,711,10,80,0,0,6e-05
14,280,290,0,-50,-610,711,10,80,0,0,6e-05
15,290,300,0,0,-1117,609.6,8,80,0,0,6e-05
16,300,305,0,-914,0,609.6,8,80,0,0,6e-05
17,305,310,0,-214,0,609.6,8,80,0,0,6e-05
18,270,330,0,0,521,711,10,80,0,0,6e-05
19,340,350,0,-50,610,711,10,80,0,0,6e-05
20,350,360,0,0,914,609.6,8,80,0,0,6e-05
21,360,370,0,-914,0,609.6,8,80,0,0,6e-05
22,370,410,0,-214,0,609.6,8,80,0,0,6e-05
23,1000,1010,0,550,0,711,10,80,0,0,6e-05
24,1010,1020,0,0,2086,1800,32,80,0,0,6e-05
25,1010,1030,0,0,-2115,1800,32,80,0,0,6e-05
26,1100,1110,0,-550,0,609.6,8,80,0,0,6e-05
27,1110,1120,0,-1800,0,1800,32,80,0,0,6e-05
28,1120,1030,0,0,146,1800,32,80,0,0,6e-05
29,1210,1220,0,-1800,0,1800,32,80,0,0,6e-05
30,1220,1020,0,0,-150,1800,32,80,0,0,6e-05
31,2000,2010,0,0,-300,711,10,80,0,0,6e-05
32,2010,2020,0,0,-1900,3800,24,80,0,0,6e-05
33,2020,2025,0,-813,0,3800,24,80,0,0,6e-05
34,2025,2026,0,0,1900,3800,24,80,0,0,6e-05
35,2026,226,0,813,966,3800,24,80,0,0,6e-05
36,2025,2030,0,-1687,0,3800,24,80,0,0,6e-05
37,2100,2110,-2652,0,2652,711,10,80,0,0,0.00068
38,2110,2120,0,2250,0,711,10,80,0,0,0.00068
39,2120,2130,707,0,-707,3800,26,80,0,0,0.00068
40,2130,2030,0,950,0,3800,26,80,0,0,0.00068
41,210,220,0,0,99,711,10,80,0,0,6e-05
42,330,340,0,0,202,711,10,80,0,0,6e-05
43,1200,1210,0,-550,0,609.6,8,80,0,0,6e-05
